Incident ID,Incident Year,Incident Month,Incident Day,State,City Or County,Address,# Killed,# Injured,Operations
541996,2016,4,17,Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1,N/A
543102,2016,4,17,South Carolina,Pelzer,200 block of Eastview Road,1,3,N/A
543108,2016,4,17,Texas,Edinburg,5021 W St Hwy 107,1,6,N/A
543244,2016,4,18,California,Long Beach,1200 block of E. 17th Street,1,3,N/A
543441,2016,4,19,Alabama,Blountsville,81551 US Highway 278,1,4,N/A
544080,2016,4,19,Illinois,Chicago,2700 block of West 53rd Street,1,3,N/A
543132,2016,4,19,Illinois,Chicago,1400 block of West 84th Street,1,4,N/A
545501,2016,4,21,Maryland,Baltimore,4800 block of Frankford Avenue,0,4,N/A
545525,2016,4,22,Ohio,Piketon,4077 Union Hill Rd,8,0,N/A
546022,2016,4,22,Georgia,Appling,3162 Johnson Drive,6,0,N/A
546581,2016,4,23,Nevada,Las Vegas,1650 South Hollywood Boulevard,1,3,N/A
546244,2016,4,23,Alabama,Auburn,1200 block of Lee Road 83,3,1,N/A
546258,2016,4,23,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4,N/A
546550,2016,4,23,Kansas,Topeka,3732 SW Topeka Blvd,1,4,N/A
546760,2016,4,24,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,N/A
547319,2016,4,24,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,N/A
546818,2016,4,24,Colorado,Denver,1400 block of 14th Street,0,4,N/A
547639,2016,4,25,Tennessee,Nashville,400 Charlotte Avenue,0,4,N/A
547827,2016,4,25,Florida,Miami,1506 Northwest 70th Street,0,5,N/A
548333,2016,4,26,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,N/A
549507,2016,4,27,Louisiana,Baton Rouge,4300  Block of Kerrit Dr,2,2,N/A
549071,2016,4,27,Mississippi,Kilmichael,Pecan Drive,3,1,N/A
550445,2016,4,29,Missouri,Saint Louis (Ferguson),400 block of N Dade Ave,0,4,N/A
550619,2016,4,29,California,Oakland,3200 block of San Pablo Avenue,0,5,N/A
551053,2016,5,1,Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,N/A
553570,2016,5,4,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,N/A
